id,make,model,year,color,price,mileage,condition,fuel_type,days_in_inventory,avg_market_price,price_difference,percent_difference,is_opportunity,market_demand,avg_days_to_sell
94,Honda,Pilot,2017,White,7623,105786,Fair,Electric,68,21826,14203,65.07,True,Low,57
95,Honda,Civic,2013,Blue,7600,179211,Fair,Gasoline,88,5197,-2403,-46.24,False,High,47
96,Toyota,Highlander,2019,Brown,39343,57960,Good,Hybrid,9,36257,-3086,-8.51,False,Low,36
98,Toyota,Camry,2021,Gray,29670,50034,Fair,Gasoline,33,27870,-1800,-6.46,False,High,25
99,Ford,Explorer,2019,Brown,20208,66603,Good,Hybrid,65,29686,9478,31.93,True,Low,25
100,Chevrolet,Traverse,2017,Green,16822,70436,Excellent,Electric,5,16186,-636,-3.93,False,Low,50
101,Audi,Q5,2011,Brown,4151,174928,Poor,Gasoline,78,3824,-327,-8.55,False,Medium,22
102,Hyundai,Elantra,2014,Yellow,21140,127653,Fair,Diesel,19,21901,761,3.47,False,Medium,49
103,Kia,Sportage,2014,Black,18270,126942,Good,Gasoline,30,17530,-740,-4.22,False,High,31
104,Audi,A6,2020,Yellow,58097,35928,Good,Diesel,8,34945,-23152,-66.25,False,High,35
107,BMW,5 Series,2013,Brown,10486,231713,Poor,Gasoline,20,9038,-1448,-16.02,False,Low,43
108,Audi,A8,2017,Blue,27044,76557,Good,Diesel,11,27489,445,1.62,False,Low,26
109,Tesla,Model S,2018,Yellow,15889,57407,Good,Gasoline,80,10487,-5402,-51.51,False,Medium,34
110,Audi,Q7,2012,Green,27217,108943,Good,Hybrid,64,19502,-7715,-39.56,False,Low,50
114,Mercedes,GLE,2010,Silver,14390,173801,Fair,Hybrid,60,11843,-2547,-21.51,False,Low,39
115,Honda,Civic,2021,Gray,33151,27835,Good,Hybrid,17,26436,-6715,-25.4,False,High,50
116,BMW,5 Series,2010,Blue,4830,141941,Good,Hybrid,73,4770,-60,-1.26,False,Low,22
118,Honda,Odyssey,2010,Green,17892,114571,Excellent,Gasoline,36,19555,1663,8.5,False,High,36
119,Mercedes,GLE,2024,Yellow,72786,0,Excellent,Diesel,61,39821,-32965,-82.78,False,Medium,22
120,Mercedes,GLE,2011,Orange,6848,166472,Poor,Gasoline,13,11041,4193,37.98,True,Low,45
122,Tesla,Model S,2022,Yellow,18026,18918,Good,Hybrid,45,19174,1148,5.99,False,High,22
124,BMW,7 Series,2016,Yellow,35797,170494,Poor,Diesel,21,35871,74,0.21,False,Medium,54
125,Honda,Odyssey,2023,Blue,23018,13989,Poor,Electric,70,18015,-5003,-27.77,False,Low,55
126,Mercedes,GLC,2019,Gray,23625,51534,Good,Diesel,3,22006,-1619,-7.36,False,Low,47
127,Audi,A4,2015,Green,48606,111706,Excellent,Gasoline,32,45001,-3605,-8.01,False,High,52
130,Toyota,Corolla,2019,Black,25472,66696,Fair,Hybrid,55,16359,-9113,-55.71,False,High,22
131,Chevrolet,Silverado,2018,Brown,32422,70097,Excellent,Electric,56,36272,3850,10.61,True,High,30
133,Toyota,Highlander,2010,Yellow,14042,208149,Fair,Gasoline,85,11690,-2352,-20.12,False,Low,55
134,Kia,Sorento,2018,Black,6103,73857,Excellent,Hybrid,21,9124,3021,33.11,True,High,30
135,BMW,3 Series,2013,Red,26124,216643,Poor,Gasoline,40,23430,-2694,-11.5,False,Low,40
136,Audi,A8,2011,Brown,4171,178347,Good,Gasoline,89,4089,-82,-2.01,False,High,40
137,Ford,Edge,2018,Blue,41268,68644,Excellent,Gasoline,77,23953,-17315,-72.29,False,Low,31
141,Hyundai,Elantra,2022,Silver,16199,27427,Fair,Electric,77,20579,4380,21.28,True,Medium,43
142,Hyundai,Palisade,2022,Gray,15929,30292,Good,Gasoline,34,16246,317,1.95,False,Low,21
143,Mercedes,E-Class,2011,Orange,25475,121550,Excellent,Hybrid,75,15663,-9812,-62.64,False,Medium,41
144,Kia,Telluride,2021,Blue,28616,39545,Poor,Electric,15,26680,-1936,-7.26,False,Low,23
145,Toyota,Camry,2011,White,12786,127715,Good,Hybrid,38,11095,-1691,-15.24,False,Medium,37
146,Chevrolet,Malibu,2011,Gray,16453,178016,Fair,Gasoline,12,15099,-1354,-8.97,False,Medium,58
147,Ford,Mustang,2014,White,3660,231140,Poor,Diesel,13,7556,3896,51.56,True,Low,60
148,Hyundai,Tucson,2012,White,20930,163725,Good,Hybrid,23,22206,1276,5.75,False,Low,49
149,Chevrolet,Traverse,2022,Brown,35973,20019,Fair,Electric,35,35290,-683,-1.94,False,Medium,25
151,Ford,F-150,2023,Green,21863,15943,Fair,Diesel,35,17951,-3912,-21.79,False,Low,22
153,Tesla,Model Y,2015,White,20260,189126,Poor,Gasoline,27,16816,-3444,-20.48,False,Low,60
154,Chevrolet,Silverado,2020,Blue,27308,46915,Good,Hybrid,55,24096,-3212,-13.33,False,High,29
155,Hyundai,Kona,2013,Black,2225,157641,Fair,Gasoline,64,2191,-34,-1.55,False,Medium,50
156,Chevrolet,Traverse,2014,Silver,26338,65836,Excellent,Diesel,57,18744,-7594,-40.51,False,Medium,23
157,Mercedes,GLE,2024,Orange,12103,0,Fair,Gasoline,21,43949,31846,72.46,True,Medium,31
158,Toyota,Tacoma,2021,Black,31672,31289,Fair,Electric,1,36222,4550,12.56,True,Low,40
159,Chevrolet,Tahoe,2018,Silver,8093,66865,Good,Diesel,56,9273,1180,12.73,True,Medium,32
160,Honda,Pilot,2023,Silver,45996,9813,Excellent,Gasoline,68,40909,-5087,-12.43,False,Medium,48
161,Ford,Escape,2015,Black,4220,114184,Poor,Diesel,2,4223,3,0.07,False,Low,34
162,Toyota,RAV4,2010,Brown,3973,170475,Excellent,Electric,6,4373,400,9.15,False,Low,55
163,Kia,Soul,2019,Blue,29274,90560,Poor,Hybrid,72,22940,-6334,-27.61,False,High,32
164,Honda,Pilot,2017,Gray,33631,68256,Good,Diesel,16,18867,-14764,-78.25,False,High,35
165,Toyota,RAV4,2018,Black,16666,108029,Fair,Gasoline,1,30475,13809,45.31,True,High,23
166,Mercedes,S-Class,2015,White,46793,116171,Good,Diesel,14,34510,-12283,-35.59,False,High,34
167,Ford,Mustang,2015,Blue,9914,87888,Fair,Electric,72,7571,-2343,-30.95,False,Medium,30
168,Mercedes,GLE,2019,Orange,9978,65158,Poor,Diesel,82,10017,39,0.39,False,High,34
170,Tesla,Model S,2024,Red,66202,0,Good,Hybrid,90,74298,8096,10.9,True,Low,55
172,Ford,Edge,2024,Blue,44827,0,Fair,Hybrid,29,41943,-2884,-6.88,False,Low,56
173,Tesla,Model Y,2020,Blue,68293,29671,Good,Diesel,61,75946,7653,10.08,True,Low,45
174,BMW,X3,2017,Orange,13215,95343,Fair,Diesel,44,20970,7755,36.98,True,Medium,37
175,BMW,3 Series,2024,White,58246,0,Good,Gasoline,8,38176,-20070,-52.57,False,Low,47
176,Toyota,Camry,2017,Blue,20624,76839,Excellent,Diesel,13,18721,-1903,-10.17,False,Medium,28
177,Toyota,Corolla,2019,Black,6757,93700,Poor,Hybrid,23,18594,11837,63.66,True,Medium,60
178,Chevrolet,Malibu,2021,Silver,22885,63519,Poor,Diesel,73,23895,1010,4.23,False,High,42
179,Tesla,Cybertruck,2010,Silver,4956,175656,Good,Hybrid,80,4320,-636,-14.72,False,High,41
180,Ford,Edge,2017,Black,6188,105910,Good,Diesel,46,27000,20812,77.08,True,Low,21
181,Mercedes,GLE,2010,Yellow,7110,140840,Excellent,Electric,14,12135,5025,41.41,True,Low,44
182,Toyota,Tacoma,2011,Blue,1672,138447,Fair,Hybrid,70,6326,4654,73.57,True,Low,41
183,Toyota,Tacoma,2018,Green,5215,86612,Fair,Diesel,20,5219,4,0.08,False,Medium,43
184,Kia,Sportage,2016,Silver,20739,128022,Fair,Electric,80,18165,-2574,-14.17,False,Medium,22
185,Audi,Q5,2019,Brown,7950,64920,Poor,Diesel,25,8575,625,7.29,False,High,53
186,Ford,Escape,2019,Orange,20020,42685,Good,Gasoline,56,19021,-999,-5.25,False,Medium,57
187,Hyundai,Palisade,2014,Brown,2671,115101,Good,Diesel,65,2753,82,2.98,False,High,56
188,Chevrolet,Malibu,2017,White,16596,87320,Excellent,Hybrid,25,17043,447,2.62,False,Medium,32
190,Tesla,Model 3,2019,Blue,51896,57047,Good,Diesel,17,30599,-21297,-69.6,False,Medium,59
191,Mercedes,GLE,2012,Gray,2932,257397,Poor,Diesel,81,9600,6668,69.46,True,High,33
192,Hyundai,Kona,2017,Black,7947,63749,Excellent,Electric,41,6794,-1153,-16.97,False,High,45
193,Audi,A6,2020,Blue,10962,29209,Excellent,Hybrid,26,34506,23544,68.23,True,Low,23
194,Ford,Edge,2020,White,16144,46376,Fair,Diesel,47,20584,4440,21.57,True,Low,46
195,Toyota,Corolla,2019,Black,23574,55209,Fair,Diesel,71,20158,-3416,-16.95,False,Low,28
196,BMW,5 Series,2017,White,27575,123796,Poor,Gasoline,41,41498,13923,33.55,True,Low,30
197,Kia,Telluride,2017,Black,13295,115254,Fair,Gasoline,50,15148,1853,12.23,True,High,21
198,Audi,A6,2013,Red,28654,159656,Good,Electric,21,32337,3683,11.39,True,Low,53
199,BMW,3 Series,2024,Gray,36063,0,Poor,Electric,59,36342,279,0.77,False,Low,41
