vehicle_id,make,model,year,avg_market_price,price_difference,percent_difference,is_opportunity,sample_size,avg_days_to_sell,market_demand
157,Mercedes,GLE,2024,43949,31846,72.46,True,2,31,Medium
158,Toyota,Tacoma,2021,36222,4550,12.56,True,1,40,Low
159,Chevrolet,Tahoe,2018,9273,1180,12.73,True,1,32,Medium
160,Honda,Pilot,2023,40909,-5087,-12.43,False,1,48,Medium
161,Ford,Escape,2015,4223,3,0.07,False,1,34,Low
162,Toyota,RAV4,2010,4373,400,9.15,False,1,55,Low
163,Kia,Soul,2019,22940,-6334,-27.61,False,2,32,High
164,Honda,Pilot,2017,18867,-14764,-78.25,False,2,35,High
165,Toyota,RAV4,2018,30475,13809,45.31,True,2,23,High
166,Mercedes,S-Class,2015,34510,-12283,-35.59,False,2,34,High
167,Ford,Mustang,2015,7571,-2343,-30.95,False,2,30,Medium
168,Mercedes,GLE,2019,10017,39,0.39,False,1,34,High
170,Tesla,Model S,2024,74298,8096,10.9,True,1,55,Low
172,Ford,Edge,2024,41943,-2884,-6.88,False,1,56,Low
173,Tesla,Model Y,2020,75946,7653,10.08,True,1,45,Low
174,BMW,X3,2017,20970,7755,36.98,True,2,37,Medium
175,BMW,3 Series,2024,38176,-20070,-52.57,False,4,47,Low
176,Toyota,Camry,2017,18721,-1903,-10.17,False,1,28,Medium
177,Toyota,Corolla,2019,18594,11837,63.66,True,3,60,Medium
178,Chevrolet,Malibu,2021,23895,1010,4.23,False,1,42,High
179,Tesla,Cybertruck,2010,4320,-636,-14.72,False,1,41,High
180,Ford,Edge,2017,27000,20812,77.08,True,2,21,Low
181,Mercedes,GLE,2010,12135,5025,41.41,True,5,44,Low
182,Toyota,Tacoma,2011,6326,4654,73.57,True,2,41,Low
183,Toyota,Tacoma,2018,5219,4,0.08,False,1,43,Medium
184,Kia,Sportage,2016,18165,-2574,-14.17,False,1,22,Medium
185,Audi,Q5,2019,8575,625,7.29,False,1,53,High
186,Ford,Escape,2019,19021,-999,-5.25,False,1,57,Medium
187,Hyundai,Palisade,2014,2753,82,2.98,False,1,56,High
188,Chevrolet,Malibu,2017,17043,447,2.62,False,1,32,Medium
190,Tesla,Model 3,2019,30599,-21297,-69.6,False,2,59,Medium
191,Mercedes,GLE,2012,9600,6668,69.46,True,4,33,High
192,Hyundai,Kona,2017,6794,-1153,-16.97,False,1,45,High
193,Audi,A6,2020,34506,23544,68.23,True,2,23,Low
194,Ford,Edge,2020,20584,4440,21.57,True,2,46,Low
195,Toyota,Corolla,2019,20158,-3416,-16.95,False,3,28,Low
196,BMW,5 Series,2017,41498,13923,33.55,True,4,30,Low
197,Kia,Telluride,2017,15148,1853,12.23,True,2,21,High
198,Audi,A6,2013,32337,3683,11.39,True,1,53,Low
199,BMW,3 Series,2024,36342,279,0.77,False,4,41,Low
